Date,Open,High,Low,Close,Adj Close,Volume
1996-01-03,39.937500,40.500000,39.437500,39.562500,24.249491,3186800
1996-01-04,39.562500,40.125000,38.375000,38.562500,23.636547,3216000
1996-01-05,38.562500,39.437500,38.062500,39.250000,24.057943,2847000
1996-01-08,39.875000,40.250000,39.875000,40.125000,24.594267,2094200
1996-01-09,40.125000,40.687500,38.812500,39.679649,24.321297,3313000
1996-01-10,39.562500,39.562500,38.187500,38.375000,23.521622,2397200
1996-01-11,38.375000,39.000000,38.062500,38.875000,23.828087,2674400
1996-01-12,38.875000,39.375000,38.375000,38.875000,23.828087,2282800
1996-01-15,38.875000,38.875000,38.375000,38.500000,23.598232,1189200
1996-01-16,38.250000,38.250000,37.687500,38.000000,23.291767,2304800
1996-01-17,38.000000,38.375000,37.750000,38.187500,23.406689,2303200
1996-01-18,38.812500,39.375000,38.812500,39.375000,24.134560,2360400
1996-01-19,39.250000,39.250000,38.187500,39.187500,24.019642,2845600
1996-01-22,39.187500,40.000000,39.000000,39.562500,24.249491,2294800
1996-01-23,39.312500,39.312500,38.500000,38.812500,23.789787,2756400
1996-01-24,38.812500,39.187500,38.250000,38.500000,23.598232,2396200
1996-01-25,38.500000,39.375000,38.437500,38.500000,23.598232,3407000
1996-01-26,38.500000,38.812500,38.375000,38.375000,23.521622,1779200
1996-01-29,38.375000,38.875000,38.312500,38.562500,23.636547,2240800
1996-01-30,38.562500,39.187500,38.562500,38.812500,23.789787,2306000
1996-01-31,38.812500,38.875000,38.125000,38.750000,23.751478,2871000
1996-02-01,38.750000,39.000000,38.625000,38.937500,23.866400,2712600
1996-02-02,39.000000,39.375000,39.000000,39.000000,23.904701,1753200
1996-02-05,39.000000,39.875000,39.000000,39.750000,24.364426,1777600
1996-02-06,39.750000,40.062500,39.312500,40.062500,24.555969,3018200
1996-02-07,40.062500,40.125000,39.625000,39.937500,24.633049,2374600
1996-02-08,39.937500,40.000000,39.687500,39.750000,24.517420,2302000
1996-02-09,40.125000,41.562500,40.125000,41.312500,25.481146,3846200
1996-02-12,41.312500,41.937500,41.062500,41.625000,25.673893,2403800
1996-02-13,41.562500,41.562500,41.000000,41.562500,25.635334,3139800
1996-02-14,41.562500,41.812500,41.187500,41.687500,25.712433,1516800
1996-02-15,41.687500,41.687500,41.187500,41.250000,25.442589,1396000
1996-02-16,41.187500,41.187500,40.750000,40.812500,25.172747,2232200
1996-02-20,40.812500,40.875000,39.750000,40.375000,24.902899,1779000
1996-02-21,40.437500,41.812500,40.437500,41.500000,25.596800,2494400
1996-02-22,41.500000,42.312500,41.187500,41.750000,25.750988,2374200
1996-02-23,41.750000,42.250000,41.562500,41.812500,25.789537,1602400
1996-02-26,41.375000,41.375000,40.625000,40.875000,25.211288,1788400
1996-02-27,40.875000,40.937500,40.000000,40.562500,25.018549,1644600
1996-02-28,40.562500,41.437500,40.312500,40.375000,24.902899,1744600
1996-02-29,40.375000,41.000000,40.250000,40.562500,25.018549,2033600
1996-03-01,40.562500,40.750000,39.000000,40.250000,24.825802,4937800
1996-03-04,40.250000,41.062500,40.000000,40.750000,25.134199,2021800
1996-03-05,40.750000,40.937500,40.437500,40.625000,25.057095,1495000
1996-03-06,40.625000,40.687500,40.125000,40.375000,24.902899,2560600
1996-03-07,40.250000,40.250000,39.812500,40.187500,24.787249,1221200
1996-03-08,39.875000,39.875000,38.125000,39.312500,24.247566,3967800
1996-03-11,39.312500,41.750000,39.312500,41.500000,25.596800,3542200
1996-03-12,41.187500,41.187500,40.375000,40.875000,25.211288,3488000
1996-03-13,40.875000,40.937500,40.187500,40.375000,24.902899,2033600
1996-03-14,40.500000,41.437500,40.500000,41.125000,25.365496,1896800
1996-03-15,41.125000,41.125000,40.312500,40.437500,24.941441,2237000
1996-03-18,40.750000,43.000000,40.750000,42.812500,26.406342,5073800
1996-03-19,42.812500,44.312500,42.812500,44.000000,27.138763,5682800
1996-03-20,43.875000,43.875000,43.437500,43.625000,26.907492,2471800
1996-03-21,43.625000,44.062500,43.375000,43.812500,27.023117,1847000
1996-03-22,43.812500,44.562500,43.500000,44.437500,27.408621,1229600
1996-03-25,44.437500,44.562500,43.437500,43.937500,27.100222,1674000
1996-03-26,43.937500,44.437500,43.500000,43.937500,27.100222,1922400
1996-03-27,43.937500,44.375000,43.687500,44.312500,27.331518,2467200
1996-03-28,44.312500,44.375000,43.625000,44.187500,27.254410,1647200
1996-03-29,44.187500,44.312500,43.187500,43.312500,26.714714,2282800
1996-04-01,43.312500,43.562500,42.250000,42.437500,26.175041,3356400
1996-04-02,42.437500,43.187500,42.250000,43.125000,26.599077,3937800
1996-04-03,43.125000,43.500000,42.437500,43.437500,26.791819,1811600
1996-04-04,43.375000,43.375000,42.312500,42.687500,26.329241,1999800
1996-04-08,42.125000,42.125000,41.000000,41.500000,25.596800,3356800
1996-04-09,41.500000,41.625000,40.625000,41.062500,25.326941,2829800
1996-04-10,41.000000,41.000000,39.875000,40.250000,24.825802,5297800
1996-04-11,40.250000,40.312500,38.437500,39.562500,24.401764,7066800
1996-04-12,40.000000,40.875000,40.000000,40.750000,25.134199,4510800
1996-04-15,40.750000,40.937500,40.625000,40.750000,25.134199,2108400
1996-04-16,40.750000,40.812500,40.312500,40.375000,24.902899,2004800
1996-04-17,40.375000,40.375000,39.687500,39.750000,24.517420,2258000
1996-04-18,39.750000,41.000000,39.750000,40.687500,25.095646,3157800
1996-04-19,40.687500,40.812500,40.250000,40.562500,25.018549,2297400
1996-04-22,40.750000,41.375000,40.750000,41.125000,25.365496,1931800
1996-04-23,41.125000,41.312500,40.562500,40.687500,25.095646,1496200
1996-04-24,40.687500,41.000000,39.937500,40.250000,24.825802,2412000
1996-04-25,40.250000,40.687500,40.062500,40.250000,24.825802,1800400
1996-04-26,40.250000,40.562500,40.187500,40.375000,24.902899,1002200
1996-04-29,40.375000,40.812500,39.500000,40.375000,24.902899,2724000
1996-04-30,40.375000,41.062500,40.375000,41.062500,25.326941,1631600
1996-05-01,40.937500,40.937500,40.312500,40.312500,24.864347,1405400
1996-05-02,40.187500,40.187500,38.062500,38.750000,23.900623,4722800
1996-05-03,38.812500,39.625000,38.812500,39.000000,24.054810,3665800
1996-05-06,39.000000,39.187500,37.875000,38.375000,23.669325,3125000
1996-05-07,38.375000,38.375000,37.437500,37.437500,23.091084,3914400
1996-05-08,37.437500,38.250000,37.062500,38.187500,23.553671,5769000
1996-05-09,38.250000,39.000000,38.250000,38.625000,23.823523,2490200
1996-05-10,39.000000,39.750000,39.000000,39.687500,24.478861,2344400
1996-05-13,39.687500,39.937500,39.000000,39.687500,24.478861,3566600
1996-05-14,40.000000,40.875000,40.000000,40.875000,25.211288,2569800
1996-05-15,40.875000,41.062500,40.562500,40.687500,25.268744,3934000
1996-05-16,41.000000,41.562500,41.000000,41.187500,25.579268,2635200
1996-05-17,41.312500,41.937500,41.312500,41.500000,25.773352,2401800
1996-05-20,41.500000,41.500000,40.812500,41.312500,25.656898,1757400
1996-05-21,41.312500,42.000000,41.187500,41.937500,26.045050,1520800
1996-05-22,41.937500,43.187500,41.625000,42.687500,26.510838,2793400
1996-05-23,42.687500,42.750000,42.250000,42.625000,26.472013,2241000
1996-05-24,42.625000,43.000000,41.937500,41.937500,26.045050,1203800
1996-05-28,42.500000,43.125000,42.500000,42.812500,26.588470,2098000
1996-05-29,42.812500,42.937500,41.875000,42.437500,26.355574,1882800
1996-05-30,42.437500,43.375000,42.250000,42.875000,26.627274,1954000
1996-05-31,42.875000,42.937500,42.437500,42.625000,26.472013,1772200
1996-06-03,42.625000,42.750000,42.000000,42.187500,26.200319,1957200
1996-06-04,42.187500,42.375000,41.750000,42.062500,26.122673,2548600
1996-06-05,42.062500,42.687500,42.000000,42.437500,26.355574,1922000
1996-06-06,42.437500,42.687500,42.250000,42.250000,26.239115,1682600
1996-06-07,42.250000,43.187500,41.312500,42.937500,26.666096,2590600
1996-06-10,42.937500,43.375000,42.812500,43.187500,26.821360,1600800
1996-06-11,43.187500,43.187500,42.375000,42.437500,26.355574,1646200
1996-06-12,42.437500,42.562500,41.875000,42.000000,26.083870,1886200
1996-06-13,42.000000,42.250000,41.625000,41.625000,25.850977,1447400
1996-06-14,41.625000,41.750000,41.500000,41.687500,25.889782,1158400
1996-06-17,41.687500,41.812500,41.437500,41.562500,25.812149,1326800
1996-06-18,41.562500,41.937500,41.312500,41.562500,25.812149,1860400
1996-06-19,41.625000,42.687500,41.625000,42.375000,26.316751,2604600
1996-06-20,42.625000,43.750000,42.625000,43.687500,27.131872,3588400
1996-06-21,43.687500,44.625000,43.500000,44.562500,27.675285,4541200
1996-06-24,44.562500,44.687500,44.187500,44.500000,27.636482,1903200
1996-06-25,44.500000,45.187500,44.187500,45.187500,28.063440,3589200
1996-06-26,45.187500,45.250000,44.437500,44.500000,27.636482,3044000
1996-06-27,44.500000,44.875000,44.375000,44.875000,27.869358,1633600
1996-06-28,44.812500,44.812500,43.562500,43.562500,27.054245,2044200
1996-07-01,44.000000,44.937500,44.000000,44.937500,27.908192,2636600
1996-07-02,44.937500,47.062500,44.687500,46.000000,28.568047,3368800
1996-07-03,46.000000,46.500000,45.312500,45.687500,28.373972,2589600
1996-07-05,45.312500,45.312500,44.625000,44.937500,27.908192,1122600
1996-07-08,44.937500,45.062500,44.437500,44.875000,27.869358,2376400
1996-07-09,44.937500,45.375000,44.937500,45.187500,28.063440,2544800
1996-07-10,45.125000,45.125000,43.812500,45.125000,28.024637,2068000
1996-07-11,45.000000,45.000000,43.562500,44.062500,27.364765,3020400
1996-07-12,44.062500,44.562500,43.562500,44.132801,27.408432,1743600
1996-07-15,44.062500,44.062500,42.500000,43.375000,26.937792,1847200
1996-07-16,43.125000,43.125000,39.937500,42.375000,26.316751,4820400
1996-07-17,42.375000,43.000000,42.000000,42.625000,26.472013,2562000
1996-07-18,42.625000,44.062500,42.562500,44.062500,27.364765,3220600
1996-07-19,44.062500,44.250000,43.562500,43.625000,27.093079,2171000
1996-07-22,43.437500,43.437500,42.937500,43.187500,26.821360,1303400
1996-07-23,43.187500,43.625000,41.937500,42.000000,26.083870,2570200
1996-07-24,42.000000,43.000000,41.250000,42.937500,26.666096,2345200
1996-07-25,43.312500,44.187500,43.312500,44.062500,27.364765,2967600
1996-07-26,44.062500,44.375000,43.812500,44.187500,27.442396,1939600
1996-07-29,44.062500,44.062500,43.250000,43.250000,26.860161,1195400
1996-07-30,43.312500,44.000000,43.312500,43.875000,27.248304,1730400
1996-07-31,43.875000,44.562500,43.812500,44.250000,27.481207,1588600
1996-08-01,44.250000,45.437500,44.187500,44.562500,27.675285,3596400
1996-08-02,45.000000,45.875000,45.000000,45.812500,28.451593,2391600
1996-08-05,45.812500,45.812500,44.750000,44.750000,27.791748,1236600
1996-08-06,44.750000,45.937500,44.625000,45.375000,28.179882,1625400
1996-08-07,45.500000,46.250000,45.500000,46.125000,28.645670,2026400
1996-08-08,46.125000,46.750000,45.750000,46.250000,28.723303,1903200
1996-08-09,46.250000,46.250000,45.500000,45.500000,28.257517,1031400
1996-08-12,45.500000,45.625000,45.187500,45.500000,28.257517,1409000
1996-08-13,45.437500,45.437500,45.000000,45.125000,28.024637,1796000
1996-08-14,45.125000,46.000000,45.125000,45.312500,28.316790,2558400
1996-08-15,45.375000,45.937500,45.375000,45.687500,28.551134,1287200
1996-08-16,45.687500,46.187500,45.500000,45.875000,28.668291,1648800
1996-08-19,45.875000,46.062500,45.750000,45.812500,28.629232,871200
1996-08-20,45.812500,46.000000,45.750000,45.875000,28.668291,1412400
1996-08-21,45.875000,45.875000,45.375000,45.562500,28.473009,983800
1996-08-22,45.562500,45.750000,44.687500,44.812500,28.004316,3697400
1996-08-23,44.812500,45.312500,44.812500,45.187500,28.238661,2264400
1996-08-26,45.187500,45.687500,45.187500,45.187500,28.238661,1487800
1996-08-27,45.375000,45.687500,45.375000,45.625000,28.512074,1627200
1996-08-28,45.937500,46.500000,45.937500,46.062500,28.785469,2662400
1996-08-29,46.062500,46.312500,45.687500,45.812500,28.629232,1990800
1996-08-30,45.687500,45.687500,45.250000,45.250000,28.277729,1711400
1996-09-03,45.250000,45.937500,44.812500,45.312500,28.316790,2441200
1996-09-04,45.375000,45.937500,45.375000,45.687500,28.551134,3143800
1996-09-05,45.687500,45.687500,45.125000,45.250000,28.277729,2191600
1996-09-06,45.250000,45.562500,45.000000,45.125000,28.199610,3066400
1996-09-09,45.125000,45.312500,45.000000,45.062500,28.160542,2590800
1996-09-10,45.062500,45.250000,44.937500,44.937500,28.082436,2430200
1996-09-11,44.937500,45.250000,44.875000,45.125000,28.199610,2184400
1996-09-12,45.125000,45.562500,45.125000,45.250000,28.277729,2094200
1996-09-13,45.375000,45.750000,45.375000,45.500000,28.433952,3018400
1996-09-16,45.562500,45.875000,45.562500,45.562500,28.473009,1858200
1996-09-17,45.562500,45.750000,45.437500,45.500000,28.433952,1946600
1996-09-18,45.500000,45.750000,45.375000,45.562500,28.473009,1718600
1996-09-19,45.562500,46.375000,45.500000,46.187500,28.863598,2160400
1996-09-20,46.375000,47.437500,46.375000,47.437500,29.644743,3545400
1996-09-23,47.437500,47.437500,47.125000,47.312500,29.566629,1331600
1996-09-24,47.312500,47.687500,46.812500,47.125000,29.449455,2069800
1996-09-25,47.125000,47.812500,47.125000,47.375000,29.605680,2028000
1996-09-26,47.375000,48.000000,47.312500,47.687500,29.800957,1718200
1996-09-27,47.687500,47.750000,47.250000,47.437500,29.644743,1026200
1996-09-30,47.437500,47.625000,47.187500,47.250000,29.527569,1267000
1996-10-01,47.312500,47.812500,47.312500,47.625000,29.761904,1613600
1996-10-02,47.687500,48.187500,47.687500,48.187500,30.113417,1222800
1996-10-03,48.312500,48.750000,48.312500,48.500000,30.308708,2436000
1996-10-04,48.562500,49.062500,48.562500,48.937500,30.582111,1761400
1996-10-07,49.000000,49.437500,49.000000,49.312500,30.816469,1405600
1996-10-08,49.312500,49.375000,48.937500,49.000000,30.621181,1642600
1996-10-09,49.000000,49.062500,48.625000,48.750000,30.464956,1530800
1996-10-10,48.750000,49.125000,48.437500,48.812500,30.504013,2412400
1996-10-11,48.875000,49.062500,48.875000,48.937500,30.582111,1294800
1996-10-14,49.000000,49.625000,49.000000,49.062500,30.660252,1869200
1996-10-15,49.062500,49.500000,48.937500,49.062500,30.660252,1813600
1996-10-16,49.062500,49.062500,48.500000,48.625000,30.386839,2572200
1996-10-17,48.625000,49.187500,48.437500,49.000000,30.621181,1982400
1996-10-18,49.000000,49.187500,48.812500,49.125000,30.699301,1565600
1996-10-21,49.125000,49.437500,49.000000,49.375000,30.855513,1605200
1996-10-22,49.375000,49.437500,49.125000,49.187500,30.738348,1219400
1996-10-23,49.125000,49.125000,48.000000,48.500000,30.308708,2468200
1996-10-24,48.375000,48.375000,47.250000,47.750000,29.840021,2474600
1996-10-25,47.750000,47.937500,47.062500,47.062500,29.410395,1795000
1996-10-28,47.062500,47.625000,46.687500,46.812500,29.254154,1860000
1996-10-29,46.812500,47.312500,46.750000,46.750000,29.215096,2022200
1996-10-30,46.875000,47.187500,46.875000,47.125000,29.449455,1277400
1996-10-31,47.187500,48.187500,47.187500,47.687500,29.800957,2625800
1996-11-01,47.000000,47.000000,45.500000,45.937500,28.707350,6697000
1996-11-04,45.937500,46.812500,45.875000,46.375000,28.980772,2822000
1996-11-05,46.375000,47.000000,46.125000,46.312500,28.941706,1981200
1996-11-06,46.312500,46.875000,45.125000,45.750000,28.590183,3819200
1996-11-07,45.812500,46.750000,45.812500,46.437500,29.019812,4072400
1996-11-08,46.500000,47.500000,46.500000,46.937500,29.332285,1665000
1996-11-11,46.937500,47.375000,46.437500,46.500000,29.058886,1387400
1996-11-12,46.500000,46.687500,45.812500,45.875000,28.668291,2585200
1996-11-13,45.875000,46.000000,45.500000,45.812500,28.805044,2606200
1996-11-14,45.812500,46.250000,45.687500,46.187500,29.040844,1979000
1996-11-15,46.187500,46.687500,45.875000,45.875000,28.844343,3501600
1996-11-18,46.062500,47.312500,46.062500,46.625000,29.315922,3668800
1996-11-19,46.812500,47.125000,46.812500,47.000000,29.551708,2298800
1996-11-20,47.625000,48.437500,47.625000,48.187500,30.298342,3302000
1996-11-21,48.375000,49.187500,48.375000,48.750000,30.652040,2943600
1996-11-22,48.937500,49.625000,48.937500,49.312500,31.005713,2640200
1996-11-25,49.312500,49.437500,49.062500,49.312500,31.005713,1896000
1996-11-26,49.312500,50.125000,49.250000,49.625000,31.202204,3076000
1996-11-27,49.625000,50.187500,49.625000,49.812500,31.320097,1668600
1996-11-29,49.812500,49.937500,49.687500,49.687500,31.241497,509800
1996-12-02,49.500000,49.500000,48.750000,48.750000,30.652040,1671600
1996-12-03,48.750000,49.187500,48.125000,48.187500,30.298342,1716000
1996-12-04,48.187500,48.812500,47.687500,48.320301,30.381868,2270400
1996-12-05,48.320301,48.812500,48.000000,48.187500,30.298342,1785400
1996-12-06,48.062500,48.062500,47.187500,47.812500,30.062584,2668200
1996-12-09,47.937500,48.312500,47.937500,48.187500,30.298342,1892800
1996-12-10,48.187500,48.562500,47.562500,47.750000,30.023268,3284200
1996-12-11,47.750000,47.812500,47.000000,47.687500,29.983965,2997600
1996-12-12,47.750000,48.687500,47.750000,48.125000,30.259048,2863400
1996-12-13,48.125000,48.500000,47.687500,48.375000,30.416250,2569600
1996-12-16,50.062500,51.937500,50.062500,50.375000,31.673769,13965400
1996-12-17,50.375000,50.812500,50.250000,50.500000,31.752367,5352200
1996-12-18,50.500000,50.750000,50.062500,50.750000,31.909555,3111000
1996-12-19,50.750000,51.750000,50.562500,51.562500,32.420418,3716200
1996-12-20,51.750000,52.687500,51.750000,52.687500,33.127781,6055000
1996-12-23,52.562500,52.562500,51.562500,52.000000,32.695496,2162000
1996-12-24,51.937500,51.937500,51.437500,51.562500,32.420418,666000
